News Outlet,Tweet Date,Tweet Lag,Tweet Text,Positive Score,Negative Score,Neutral Score,Compound Score
@BBCWorld,Tue Jul 31 10:21:49 +0000 2018,1,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.517,0.0,0.483,0.8176
@BBCWorld,Tue Jul 31 10:11:57 +0000 2018,2,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",0.0,0.375,0.625,-0.6124
@BBCWorld,Tue Jul 31 09:21:52 +0000 2018,3,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",0.0,0.348,0.652,-0.5859
@BBCWorld,Tue Jul 31 08:57:57 +0000 2018,4,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:52:33 +0000 2018,5,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:47:23 +0000 2018,6,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,0.0,0.435,0.565,-0.6597
@BBCWorld,Tue Jul 31 07:14:46 +0000 2018,7,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.186,0.0,0.814,0.4939
@BBCWorld,Tue Jul 31 07:02:10 +0000 2018,8,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,0.0,0.659,0.341,-0.9118
@BBCWorld,Tue Jul 31 05:49:49 +0000 2018,9,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:37:41 +0000 2018,10,Lombok earthquake: 543 hikers evacuated from Mt Rinjani https://t.co/osNkO31id8,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 03:16:41 +0000 2018,11,Backpackers attacked with shovel in Australian bush https://t.co/ZuioxsSWKf,0.0,0.3,0.7,-0.4588
@BBCWorld,Tue Jul 31 02:40:07 +0000 2018,12,"RT @AboutTheBBC: More women than ever before are watching, reading and listening to the BBC in #Afghanistan, thanks to @BBCWorldService htt…",0.127,0.0,0.873,0.4404
@BBCWorld,Tue Jul 31 02:25:20 +0000 2018,13,"North Korea 'working on new missiles', US officials say https://t.co/N84Oc6IKIS",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 01:52:42 +0000 2018,14,"RT @bbcweather: #Winterlude will feel like a distant memory by this weekend, especially for those in the southern half of the country where…",0.106,0.0,0.894,0.3612
@BBCWorld,Tue Jul 31 00:54:45 +0000 2018,15,UK man's rape conviction quashed in Sydney https://t.co/RXY0qDtVjG,0.0,0.402,0.598,-0.6908
@BBCWorld,Tue Jul 31 00:44:23 +0000 2018,16,Fast fashion: Inside the fight to end the silence on waste https://t.co/u6PCrBbNCm,0.0,0.351,0.649,-0.6597
@BBCWorld,Tue Jul 31 00:28:38 +0000 2018,17,"Paul Manafort, ex-Trump campaign chief, to begin trial https://t.co/I3W0ZIkHVg",0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:23:25 +0000 2018,18,Letter from Africa: How bruised is President Buhari by defections? https://t.co/hzZ9EhPvSo,0.0,0.2,0.8,-0.3612
@BBCWorld,Tue Jul 31 00:12:41 +0000 2018,19,Reality Check: Will the EHIC be valid after Brexit? https://t.co/Usfpl292I6,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 00:04:09 +0000 2018,20,Intrepid French hunt for sunken warships Cordelière and Regent https://t.co/983c4pRhFJ,0.0,0.143,0.857,-0.128
@BBCWorld,Tue Jul 31 10:21:49 +0000 2018,21,Southern Agricultural Show: 'Special' bull named supreme champion https://t.co/3GyOfgeXkj,0.517,0.0,0.483,0.8176
@BBCWorld,Tue Jul 31 10:11:57 +0000 2018,22,"The battle to stop former Islamic State fighters getting to Europe 

https://t.co/FFeNmOa2ne https://t.co/pUFcKzoKaS",0.0,0.375,0.625,-0.6124
@BBCWorld,Tue Jul 31 09:21:52 +0000 2018,23,"Miss Helen, shark stolen in a pram, recovering in US aquarium https://t.co/jPxIarATwO",0.0,0.348,0.652,-0.5859
@BBCWorld,Tue Jul 31 08:57:57 +0000 2018,24,Zimbabwe election: Mnangagwa and Chamisa both upbeat https://t.co/42xf894DGv,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:52:33 +0000 2018,25,New Zealand sexist road sign changed by seven-year-old girl https://t.co/ooHEslKjhD,0.0,0.0,1.0,0.0
@BBCWorld,Tue Jul 31 07:47:23 +0000 2018,26,India telecom chief denies losing dare to hackers https://t.co/VjFUWULMcW,0.0,0.435,0.565,-0.6597
@BBCWorld,Tue Jul 31 07:14:46 +0000 2018,27,"RT @BBCNewsbeat: Fans have praised Chrissy Teigan for showing her 'mom bod' 🙌
https://t.co/H21BRMFeYr",0.186,0.0,0.814,0.4939
@BBCWorld,Tue Jul 31 07:02:10 +0000 2018,28,Does the death penalty deter rape in India? https://t.co/x214kpsRsn,0.0,0.659,0.341,-0.9118
@BBCWorld,Tue Jul 31 05:49:49 +0000 2018,29,False widow spider 'devours' native lizard https://t.co/JRGZdGVoCd,0.0,0.0,1.0,0.0
